Features,Strength
"(8, 9, 10, 12, 13, 15)",128.81009521484376
"(9, 10, 12, 13, 15)",128.6741943359375
"(3, 8, 9, 10, 12, 13, 15)",128.6393310546875
"(9, 11, 12)",128.56829833984375
"(6, 13, 16)",128.44029846191407
"(1, 8, 15, 16)",128.4402587890625
"(4, 6, 13)",128.19156494140626
"(4, 6, 12, 13)",128.04736328125
"(1, 5, 7, 8, 9, 12)",127.955322265625
"(1, 8, 9, 13, 14)",127.86749267578125
"(1, 6, 7, 11, 14, 16)",127.8394287109375
"(3, 4, 5, 6, 7, 8, 9, 12, 15)",127.812158203125
"(1, 2, 4, 6, 7, 8, 9, 10, 11, 12, 15)",127.73477783203126
"(8, 14, 15)",127.14033231735229
"(4, 6, 10)",126.9695556640625
"(1, 2, 4, 8, 9, 10, 13, 14)",126.86295166015626
"(5, 9, 10, 11, 15, 16)",126.60576171875
"(4, 7, 9, 10, 11, 15, 16)",126.44932861328125
"(2, 4, 5, 6, 9, 10, 11, 12, 13, 14, 16)",126.407373046875
"(7, 8, 9, 10, 16)",125.73155517578125
"(1, 5, 8, 10)",125.65015869140625
"(1, 3, 4, 5, 6, 7, 8, 9, 12, 15)",125.62696533203125
"(5, 6, 7, 9, 10, 11)",125.59808349609375
"(4, 6, 8, 12, 13)",125.5013671875
"(3, 8, 9, 10, 12, 13, 15, 16)",125.467431640625
"(1, 3, 5, 7, 8, 9, 12)",125.40865478515624
"(8, 9, 10, 11, 12, 13)",125.395361328125
"(2, 6, 8, 9, 12)",125.26903076171875
"(7, 8, 10, 11, 14, 15)",124.96981201171874
"(1, 9, 13)",124.74559707641602
"(6, 11, 12, 13)",124.65606689453125
"(2, 5, 7, 15)",124.63040771484376
"(2, 3, 8, 10, 12, 13)",124.5984619140625
"(5, 7, 8, 10, 11, 12, 15)",124.48172607421876
"(12, 13, 14)",124.30899658203126
"(6, 7, 11, 12, 13)",124.20035400390626
"(6, 7, 8, 13)",123.7717041015625
"(1, 2, 7, 10, 11, 12, 13, 14)",123.6321044921875
"(9, 11, 14, 15)",123.55887451171876
"(5, 6, 7, 9, 10, 11, 15)",122.49659423828125
"(2, 4, 6, 10)",122.2968505859375
"(1, 5, 7, 12)",122.29345703125
"(1, 3, 4, 7, 8, 9, 11, 12, 13, 14, 15)",121.24674072265626
"(2, 3, 8, 9, 10, 12, 13, 15)",121.0725341796875
"(1, 2, 5, 6, 8, 9, 10, 11, 12, 15)",120.91900634765625
"(3, 9, 12, 13, 15)",120.8856689453125
"(1, 6, 8, 12, 16)",120.6756591796875
"(3, 4, 10, 11, 12, 13, 15, 16)",120.2558837890625
"(2, 4, 6, 7, 9, 10, 11, 12, 14, 15)",120.18072509765625
